,stu_id,class,avg_s,avg,mon_count,top,time
148,480,2,3.94769103,7.09421052632,57.0,87.8712871287,135.0
152,504,0,5.644012739,8.14871794872,156.0,81.4134275618,29.0
158,522,2,4.169566855,5.99814814815,54.0,82.0494699647,7.0
160,524,0,6.138457944,9.11160714286,224.0,82.1201413428,16.0
162,528,1,4.364323232,8.99813953488,301.0,82.2614840989,5.0
164,532,0,5.300619266,10.0840659341,182.0,82.4381625442,3.0
166,534,1,3.976423267,10.0990909091,99.0,82.5088339223,7.0
168,536,0,4.973201531,14.0233333333,60.0,82.5795053004,7.0
170,552,0,4.186766467,7.01666666667,96.0,83.2862190813,53.0
172,564,1,2.772853828,7.4027027027,37.0,83.7455830389,4.0
174,566,0,3.013268921,9.31666666667,24.0,83.816254417,29.0
176,572,0,4.102917342,8.74918032787,61.0,84.0636042403,1.0
178,576,2,3.692795918,12.125,16.0,84.2049469965,9.0
180,580,0,5.597304527,10.8927835052,97.0,84.3816254417,4.0
182,584,0,4.366626794,8.1380952381,63.0,84.5229681979,12.0
186,602,0,5.443605948,13.0033898305,118.0,85.3003533569,7.0
188,606,0,3.680022422,8.6010989011,91.0,85.4416961131,1.0
190,612,0,4.779032258,7.63855614973,374.0,85.6890459364,55.0
192,616,0,4.414534314,5.84279835391,243.0,85.8303886926,2.0
194,624,0,3.293629139,11.4413043478,46.0,86.148409894,97.0
196,626,0,2.938908046,9.46666666667,75.0,86.2190812721,15.0
200,636,0,3.782054329,7.01140939597,149.0,86.6077738516,12.0
204,650,3,3.995092879,7.65508474576,118.0,87.2438162544,12.0
208,662,0,4.230826709,7.67341772152,158.0,87.667844523,12.0
210,674,0,3.609428105,8.22944297082,377.0,88.0918727915,7.0
212,680,0,3.420669344,8.028,25.0,88.3038869258,10.0
216,694,2,3.333543307,7.05384615385,195.0,88.7985865724,44.0
218,696,0,3.438243762,6.41363636364,44.0,88.8692579505,35.0
220,706,0,2.902336683,5.4775,40.0,89.222614841,7.0
222,708,0,4.526186944,5.90095238095,105.0,89.2932862191,10.0
224,712,1,3.783067227,9.115,100.0,89.5759717314,57.0
228,718,2,4.41828125,7.60987654321,162.0,89.7879858657,16.0
230,732,0,4.258414239,15.2604545455,44.0,90.3533568905,2.0
232,742,0,5.468081705,22.02,5.0,90.7067137809,18.0
234,744,0,2.893471761,9.86510204082,98.0,90.777385159,56.0
236,746,0,4.169772182,8.096875,96.0,90.8480565371,5.0
238,754,0,2.462593918,4.16296296296,27.0,91.1307420495,113.0
240,756,2,2.935145005,4.44461538462,65.0,91.2014134276,244.0
242,762,0,4.506666667,6.93888888889,18.0,91.4134275618,5.0
244,770,0,4.839776119,11.4204918033,244.0,61.8899273105,10.0
248,774,0,4.06012766,9.49772727273,44.0,91.7667844523,25.0
250,786,2,4.539197324,7.66162790698,86.0,92.2614840989,81.0
252,796,0,4.284763949,7.26666666667,24.0,92.6148409894,10.0
254,800,0,3.150713202,10.0,29.0,92.7561837456,11.0
256,802,1,3.444591503,5.41782178218,101.0,92.8268551237,54.0
258,816,0,3.999175824,7.92960784314,204.0,93.3922261484,16.0
260,820,1,4.300054545,10.4632231405,242.0,93.5335689046,26.0
262,822,0,4.230253456,9.47866666667,150.0,93.6042402827,21.0
264,824,0,3.640070237,13.4310344828,29.0,93.6749116608,30.0
266,826,0,3.669736842,9.6,67.0,93.7455830389,56.0
272,878,0,5.718679245,9.11978609626,187.0,95.7243816254,30.0
274,882,0,4.932626404,11.051754386,114.0,95.8657243816,21.0
280,894,3,4.537347611,12.1093333333,75.0,96.2897526502,2.0
284,898,0,4.384623824,7.67590361446,83.0,96.4310954064,4.0
286,900,0,4.106832386,12.0695145631,103.0,96.5017667845,3.0
288,908,0,2.437225673,9.48636363636,22.0,96.7137809187,88.0
290,916,0,3.906266447,7.271875,128.0,96.9964664311,57.0
292,928,0,3.873867596,12.0362745098,102.0,97.4204946996,2.0
294,932,1,3.7117603,11.3333333333,45.0,97.5618374558,10.0
296,936,0,5.083835616,9.39741935484,155.0,97.703180212,18.0
298,940,1,4.043246187,4.32888888889,405.0,97.8445229682,5.0
302,948,0,3.223997135,4.82352941176,34.0,98.1272084806,19.0
304,958,3,3.648214936,10.2325842697,89.0,98.480565371,15.0
306,966,1,2.983714653,10.6891891892,37.0,98.7632508834,65.0
308,970,0,3.072789256,7.01904761905,21.0,98.9045936396,5.0
310,988,2,3.311584582,8.3,56.0,99.5406360424,111.0
312,990,2,3.551317734,7.60724637681,138.0,99.6819787986,6.0
314,996,0,5.73299169,7.91830065359,153.0,99.8939929329,3.0
318,1002,0,4.133974522,7.92063492063,126.0,0.17667844523,86.0
320,1006,0,4.701838235,14.3705882353,51.0,0.318021201413,7.0
324,1012,1,4.244920319,6.90669421488,121.0,0.530035335689,14.0
326,1016,0,4.263557692,8.06312056738,141.0,0.671378091873,23.0
330,1024,0,2.629521858,5.1347826087,46.0,0.95406360424,89.0
332,1030,0,3.735930807,6.52222222222,18.0,1.16607773852,12.0
334,1036,1,4.705580286,10.4087640449,89.0,1.37809187279,12.0
338,1050,1,4.127777778,5.05319148936,47.0,1.87279151943,12.0
340,1054,0,4.275469484,8.14716981132,53.0,2.01413427562,3.0
346,1084,0,3.702859712,10.0520833333,48.0,3.0035335689,13.0
350,1102,0,4.71050578,17.5777777778,27.0,3.63957597173,57.0
354,1110,0,5.043886986,6.10443349754,203.0,3.85159010601,2.0
358,1124,1,3.80207824,6.93714285714,140.0,4.69964664311,2.0
360,1132,1,3.437195513,8.21166666667,48.0,5.19434628975,13.0
364,1138,1,4.346940559,12.9484375,64.0,7.45583038869,5.0
366,1142,0,3.3871949,7.13695652174,46.0,8.93992932862,13.0
368,1154,0,3.800515152,10.0244186047,86.0,13.6042402827,14.0
370,1170,0,4.611880952,11.0488636364,88.0,19.8233215548,4.0
372,1172,0,5.011803874,7.80747126437,174.0,20.6007067138,2.0
374,1174,0,4.844438944,10.24,75.0,21.3780918728,6.0
376,1182,0,3.757883523,12.5086956522,69.0,24.4169611307,52.0
378,1184,0,3.8646875,11.8717391304,46.0,25.1943462898,60.0
380,1186,0,5.210522876,10.1576,125.0,25.9717314488,3.0
382,1192,0,4.657647059,12.8894339623,106.0,28.3038869258,20.0
384,1196,2,3.916152898,8.66689655172,145.0,29.8586572438,32.0
386,1200,0,5.175408719,11.1707575758,66.0,31.4134275618,6.0
388,1202,1,3.292246377,5.24565217391,46.0,32.1908127208,11.0
390,1218,0,4.274816568,11.9739130435,161.0,38.3392226148,1.0
392,1222,0,4.259681529,17.7925373134,67.0,39.8939929329,2.0
394,1226,0,3.555438596,5.1,40.0,25.0,63.0
398,1236,0,4.381258389,8.23162393162,117.0,45.0530035336,38.0
402,1248,0,5.164525066,8.89572649573,234.0,47.5265017668,35.0
404,1254,0,3.448993103,11.605,20.0,47.7385159011,5.0
406,1258,1,3.812836412,10.4156862745,51.0,47.8798586572,44.0
408,1260,3,3.115121951,12.3967741935,31.0,47.9505300353,3.0
410,1264,0,4.660841584,8.62857142857,84.0,48.0918727915,11.0
412,1266,0,5.197511962,9.94418918919,74.0,48.1625441696,3.0
414,1278,0,4.163398438,9.83857142857,70.0,48.5865724382,55.0
416,1286,0,3.578913043,6.96545454545,55.0,48.8692579505,2.0
418,1294,1,4.401089494,6.51194029851,67.0,49.1519434629,37.0
420,1296,3,3.55377193,9.81176470588,136.0,49.222614841,28.0
422,1300,0,3.38465704,8.45816326531,98.0,49.3639575972,7.0
426,1308,0,4.55,8.89132653061,196.0,49.6466431095,8.0
428,1312,1,4.82309322,9.54957983193,119.0,49.7879858657,2.0
430,1328,0,4.385807407,11.5452554745,137.0,50.3533568905,11.0
432,1330,0,4.816421725,9.69681318681,91.0,50.4240282686,3.0
436,1334,0,3.652463127,3.546125,80.0,50.5653710247,15.0
438,1338,0,4.963072407,9.55447154472,123.0,50.7067137809,32.0
440,1342,0,4.008587156,4.79733333333,75.0,50.8480565371,9.0
442,1348,0,4.408947368,10.012,100.0,51.0600706714,4.0
444,1360,0,3.927972743,9.06865671642,67.0,51.4840989399,7.0
448,1378,0,4.243789683,10.3206896552,29.0,52.1201413428,113.0
450,1382,0,3.231689815,5.05294117647,34.0,52.2614840989,48.0
452,1384,0,4.706785714,8.26386554622,119.0,52.332155477,4.0
454,1386,3,4.133238938,7.46668639053,169.0,52.4028268551,14.0
458,1406,0,4.182123894,8.68524590164,183.0,29.4554455446,117.0
464,1416,1,4.160650794,17.4385308057,211.0,53.3922261484,6.0
466,1426,0,4.527765517,5.57666666667,30.0,53.7455830389,20.0
468,1430,0,3.010060606,7.11153846154,26.0,53.8869257951,42.0
470,1438,0,3.655355649,7.09402985075,67.0,54.1696113074,48.0
476,1474,0,4.53912,7.85421686747,83.0,55.4416961131,1.0
478,1498,1,2.661165414,5.55490196078,51.0,56.3604240283,38.0
480,1500,1,4.371593407,13.2461538462,91.0,56.4310954064,35.0
482,1502,0,4.232391653,8.63789473684,95.0,56.5017667845,53.0
484,1506,1,3.724518072,10.7384615385,52.0,56.6431095406,37.0
486,1512,1,3.47256513,6.42777777778,90.0,56.8551236749,4.0
488,1514,2,2.29989426,4.6,68.0,56.925795053,116.0
490,1522,0,4.119260143,4.56352941176,85.0,57.2084805654,1.0
492,1528,3,3.587322695,7.29166666667,12.0,57.4204946996,18.0
494,1530,1,3.361018923,4.67659574468,47.0,57.4911660777,35.0
498,1538,0,4.042172573,8.40526315789,38.0,57.8445229682,10.0
500,1540,0,4.713429257,9.64516129032,62.0,57.9151943463,22.0
502,1542,0,3.381395349,6.677,100.0,57.9858657244,8.0
504,1550,0,3.164018476,4.69285714286,14.0,58.2685512367,24.0
506,1556,1,4.53742284,7.04299065421,107.0,58.480565371,19.0
512,1584,1,3.524447301,13.2936,25.0,59.4699646643,11.0
514,1590,0,3.057294282,8.38503937008,127.0,59.6819787986,6.0
524,1610,0,3.863663793,4.56111111111,18.0,60.4593639576,7.0
528,1614,1,3.645953992,6.77043478261,115.0,38.7657688374,11.0
530,1620,1,3.67849162,10.8057142857,70.0,38.9703375384,19.0
534,1626,0,3.354245115,11.5305555556,72.0,39.1749062393,21.0
544,1650,0,1.545614525,10.0174358974,39.0,39.9931810433,29.0
546,1652,0,4.049924812,9.35355191257,183.0,40.0613706103,4.0
548,1654,0,4.002732769,9.13983739837,123.0,40.1295601773,55.0
550,1656,0,4.355527426,8.55294117647,85.0,40.1977497443,10.0
558,1678,0,4.409219381,9.70228571429,175.0,40.9478349812,22.0
560,1680,3,3.332647887,7.7640625,64.0,41.0160245482,6.0
564,1688,0,4.066871508,8.43596491228,114.0,41.2887828162,1.0
566,1694,0,4.55039356,8.80294117647,136.0,41.4933515172,82.0
568,1698,0,4.179698682,8.96293103448,116.0,41.6297306512,6.0
570,1712,0,4.361043771,6.36818181818,88.0,42.1070576202,64.0
572,1716,0,4.384847645,8.35980392157,102.0,42.3116263212,1.0
574,1722,0,5.497975309,11.6131868132,91.0,42.5843845892,6.0
576,1730,0,4.096601467,10.5692982456,114.0,42.9253324241,23.0
578,1746,0,4.536424149,9.27083333333,168.0,43.7436072281,11.0
580,1750,1,3.268007663,9.11351351351,37.0,43.8799863621,15.0
582,1752,0,4.427837838,6.01988304094,171.0,43.9481759291,12.0
584,1770,2,3.07197901,8.85151515152,66.0,44.630071599,17.0
586,1782,0,3.983646532,7.1085106383,47.0,45.039209001,16.0
588,1794,0,5.626842105,14.3535211268,71.0,45.448346403,4.0
590,1802,0,4.048236878,9.17262569832,179.0,45.925673372,8.0
592,1806,1,4.192923833,6.15666666667,30.0,46.062052506,16.0
596,1832,0,2.947792947,5.07303370787,89.0,46.9485168769,88.0
598,1834,3,4.17121643,10.7169655172,145.0,47.0167064439,4.0
600,1840,0,5.389003378,10.9173333333,75.0,47.2212751449,11.0
602,1842,0,5.159891135,11.4377777778,162.0,47.2894647119,18.0
604,1848,0,5.045063291,10.505,40.0,47.4940334129,8.0
624,1924,0,3.219536354,12.2004,50.0,50.4261847937,4.0
626,1932,0,4.745061898,6.94292237443,219.0,50.6989430617,20.0
628,1950,0,4.724890282,6.75388888889,180.0,51.3126491647,11.0
630,1956,0,3.60666218,7.98076923077,26.0,51.5172178657,49.0
632,1968,1,3.433107143,18.5777777778,27.0,51.9945448346,8.0
634,1970,0,4.50066129,5.74863013699,146.0,52.0627344016,28.0
636,1980,0,3.671686957,6.7,72.0,52.5400613706,1.0
638,1982,0,5.257303371,10.0784946237,93.0,52.6082509376,2.0
640,1984,3,3.559509677,11.1291666667,72.0,52.6764405046,10.0
642,1986,0,3.322687023,8.77063291139,79.0,52.7446300716,3.0
644,1990,2,2.870070053,6.80384615385,52.0,52.8810092056,3.0
646,2002,0,3.934327808,6.9995505618,89.0,53.3242413911,8.0
652,2026,1,4.073564014,7.00369863014,146.0,54.142516195,68.0
654,2036,0,3.118139013,7.30549450549,91.0,54.48346403,33.0
658,2044,1,3.925709729,12.6162162162,37.0,54.756222298,4.0
660,2060,2,2.769758308,6.1,17.0,55.5063075349,20.0
666,2066,0,6.45398773,9.18863636364,176.0,55.7108762359,80.0
668,2068,2,5.153531599,11.3741176471,170.0,55.7790658029,16.0
670,2072,0,4.421813187,8.74791666667,96.0,55.9154449369,58.0
674,2088,0,3.880906631,11.2086330935,139.0,56.5291510399,34.0
676,2090,0,4.278827471,7.54491525424,118.0,56.5973406069,12.0
678,2092,1,3.769338983,7.42733333333,150.0,56.6655301739,4.0
684,2110,0,3.143501094,10.7615384615,26.0,57.2792362768,21.0
692,2132,0,4.102454545,7.44848484848,66.0,58.0293215138,1.0
694,2134,1,3.828172185,8.25090909091,110.0,58.0975110808,25.0
698,2144,3,3.510821918,7.70113636364,88.0,58.4384589158,86.0
700,2148,2,1.620162016,8.2,3.0,58.5748380498,21.0
702,2162,1,4.322927242,7.66595744681,188.0,59.0521650188,34.0
710,2192,0,4.391426307,5.95857142857,140.0,60.0750085237,41.0
714,2208,0,4.493068392,9.45465838509,161.0,60.8250937607,3.0
716,2218,0,2.847584746,5.97575757576,66.0,61.1660415956,70.0
720,2232,0,2.806072773,10.0628571429,35.0,61.6433685646,148.0
722,2234,0,4.796276392,10.1157894737,114.0,61.7115581316,2.0
724,2244,0,3.703294686,8.12019607843,51.0,62.0525059666,220.0
726,2250,0,3.03227991,7.25083333333,120.0,62.2570746676,23.0
728,2252,0,3.718713693,6.67912087912,182.0,62.3252642346,19.0
730,2256,1,4.316877579,9.80217391304,46.0,62.4616433686,23.0
734,2270,0,3.63951586,7.8649122807,57.0,62.9389703375,14.0
736,2274,3,3.233365854,9.085,20.0,63.0753494715,6.0
738,2278,2,3.510661479,7.58566037736,53.0,63.2117286055,36.0
740,2280,0,3.763469388,5.43563218391,87.0,63.2799181725,21.0
742,2284,2,4.103027719,8.0900990099,101.0,63.4162973065,31.0
748,2294,0,5.854976303,9.7635193133,233.0,63.7572451415,12.0
752,2302,0,3.64763098,6.59634146341,82.0,64.0300034095,19.0
754,2304,1,3.574118519,8.26029411765,136.0,64.0981929765,15.0
756,2306,0,3.929127517,10.942,50.0,64.1663825435,7.0
758,2308,0,5.67884058,12.7232,125.0,64.2345721105,19.0
760,2316,1,3.430659341,8.29259259259,27.0,64.5073303785,13.0
762,2320,1,3.738658744,9.38054794521,73.0,65.3256051824,10.0
764,2322,0,4.662307692,6.30350877193,114.0,65.7006478009,1.0
766,2332,0,4.390874317,6.03670731707,82.0,67.7463348108,3.0
768,2334,1,4.2234375,7.78965517241,116.0,68.1554722128,23.0
770,2340,0,4.461264916,14.0054545455,55.0,69.4169792022,47.0
772,2350,0,4.049714829,11.3133333333,30.0,71.3262870781,9.0
774,2356,0,5.555642458,8.30491803279,61.0,72.553699284,6.0
776,2364,1,4.143881988,11.1281481481,108.0,74.1220593249,15.0
778,2370,1,4.281550279,10.6769230769,91.0,75.3153767474,40.0
780,2388,0,5.133159236,10.4155778894,199.0,78.9635185817,26.0
782,2392,0,4.332294807,6.39787234043,47.0,79.7817933856,28.0
784,2396,0,4.309121951,12.275,32.0,80.6000681896,19.0
788,2416,0,3.768701031,8.57770833333,96.0,84.6232526423,11.0
792,2422,0,3.377992203,7.82627118644,118.0,84.8278213433,22.0
794,2428,0,4.300142857,6.67086614173,127.0,85.0323900443,9.0
796,2430,0,4.095517241,6.34357798165,218.0,85.1005796113,64.0
798,2434,0,4.550802139,14.5991954023,87.0,85.2369587453,21.0
800,2440,0,5.383084648,6.90084745763,118.0,85.4415274463,67.0
802,2452,0,3.943253012,6.79302325581,43.0,85.8506648483,12.0
804,2458,0,3.870583942,6.10344827586,203.0,86.0552335493,20.0
806,2468,0,3.474628906,6.2,29.0,86.3961813842,4.0
810,2474,0,2.482710706,8.82,5.0,86.6007500852,17.0
812,2476,3,4.113262195,7.30055555556,144.0,86.6689396522,5.0
816,2484,1,5.033106312,7.4198019802,101.0,86.9416979202,54.0
818,2504,1,4.886018237,7.9120754717,53.0,87.6235935902,12.0
820,2518,1,3.447508475,9.20618556701,97.0,88.1350153427,24.0
822,2520,0,4.10187905,5.78423728814,59.0,88.2372996931,27.0
824,2522,0,4.257737844,7.94444444444,135.0,88.3395840436,48.0
826,2524,0,4.151067538,8.95348837209,43.0,88.4077736106,38.0
828,2530,0,3.792256186,20.3907407407,54.0,88.7146266621,21.0
832,2542,1,4.392258065,9.59215686275,51.0,89.1237640641,8.0
834,2552,0,3.987579972,7.75689655172,58.0,89.4647118991,105.0
836,2558,0,4.657766234,6.62884615385,52.0,89.6692806001,32.0
838,2578,0,4.042980198,8.15487804878,164.0,90.35117627,41.0
840,2586,0,3.855575486,8.15747126437,87.0,90.623934538,10.0
842,2594,0,3.773240223,10.0285714286,56.0,90.896692806,19.0
846,2614,0,3.646208531,9.35454545455,22.0,91.578588476,31.0
848,2616,0,7.956433915,15.669375,32.0,91.646778043,6.0
850,2630,2,3.275509804,5.54333333333,60.0,92.1581997954,62.0
852,2638,0,3.457932489,8.77697674419,43.0,92.4309580634,51.0
854,2660,1,5.453808354,12.5717391304,184.0,93.1810433004,2.0
856,2664,0,4.872204473,13.0899328859,149.0,93.3174224344,25.0
858,2666,0,5.536791045,8.38691588785,107.0,93.3856120014,10.0
860,2668,0,5.803258706,6.32453703704,216.0,93.4538015684,57.0
862,2676,0,4.941371115,7.78476190476,105.0,93.7265598363,24.0
864,2688,2,3.805135952,11.0697959184,49.0,94.1356972383,54.0
866,2692,0,4.229483806,9.89509803922,102.0,94.2720763723,45.0
868,2694,2,3.92100365,11.022745098,102.0,94.3402659393,8.0
870,2704,1,4.381573677,8.34793103448,406.0,94.6812137743,65.0
872,2710,0,2.684892704,3.85098039216,51.0,94.8857824753,9.0
876,2728,0,4.722619048,10.1878787879,132.0,95.4312990113,8.0
878,2734,1,4.284971429,14.2,11.0,95.6358677122,46.0
880,2740,1,4.793908524,10.5047619048,21.0,95.8404364132,1.0
882,2742,0,3.034984568,7.38651685393,89.0,95.9086259802,24.0
884,2746,0,5.787036496,14.3285714286,21.0,96.0450051142,12.0
888,2758,1,3.87015456,4.8138150289,173.0,60.0720720721,8.0
890,2760,0,4.149494048,6.47224880383,209.0,60.1441441441,24.0
892,2774,3,2.786940994,6.12692307692,26.0,60.6486486486,2.0
896,2790,0,4.272158774,5.97602040816,196.0,61.2252252252,3.0
900,2812,1,3.80487037,4.61548672566,226.0,61.9459459459,30.0
902,2814,0,5.254334975,8.78675213675,234.0,62.0540540541,10.0
904,2816,0,3.600726496,11.2729166667,48.0,62.1261261261,30.0
908,2828,0,4.585782074,5.48108108108,111.0,62.4864864865,7.0
910,2832,0,5.728385965,6.12631578947,114.0,62.6306306306,12.0
912,2834,0,5.401309824,8.29902912621,103.0,62.7027027027,13.0
914,2836,0,5.271494253,5.76708074534,161.0,62.7747747748,3.0
916,2846,2,4.816460587,4.60529411765,68.0,63.1351351351,8.0
918,2854,0,6.652463158,9.736,100.0,63.4234234234,16.0
920,2860,0,3.785759669,3.76979865772,149.0,63.6396396396,7.0
924,2866,0,5.055445783,6.0328358209,67.0,63.8558558559,5.0
928,2870,0,5.685012788,6.65087719298,114.0,64.0,8.0
930,2874,0,5.996752266,16.4476190476,126.0,67.5742574257,25.0
934,2880,0,3.649429477,9.23157894737,19.0,64.2162162162,28.0
936,2882,0,3.410246533,7.4,29.0,64.2882882883,4.0
938,2884,0,4.533856089,6.43816425121,207.0,64.3603603604,10.0
940,2888,0,4.34064695,7.34953271028,107.0,64.5045045045,5.0
944,2898,0,4.14610101,8.9,93.0,64.8648648649,1.0
946,2902,0,4.539072464,7.60672268908,119.0,65.009009009,16.0
948,2908,0,4.13,7.134375,64.0,65.2252252252,14.0
950,2910,0,4.499508841,4.01477272727,88.0,65.2972972973,2.0
952,2912,0,5.379906542,8.43333333333,96.0,65.3693693694,9.0
954,2916,0,4.793261297,7.14197530864,81.0,65.5135135135,13.0
956,2922,0,5.650986842,5.31602564103,156.0,65.7297297297,24.0
958,2924,0,4.116315789,6.49375,80.0,65.8018018018,3.0
960,2928,0,4.04242268,5.05792207792,77.0,65.9459459459,4.0
962,2932,0,3.979476117,6.29585365854,41.0,66.0900900901,16.0
964,2934,2,3.349457755,8.86935483871,62.0,66.1621621622,40.0
966,2946,2,3.430567201,5.48095238095,42.0,70.297029703,100.0
968,2960,3,2.601648016,4.32,40.0,67.027027027,121.0
970,2968,0,4.352747934,6.44918918919,37.0,67.3153153153,20.0
972,2978,0,4.216859155,5.76055045872,109.0,67.6756756757,50.0
974,2980,0,4.724679715,5.0645320197,203.0,67.7477477477,60.0
976,2994,1,4.500469484,5.8,101.0,68.2522522523,40.0
978,2998,1,4.636426282,4.62380952381,21.0,68.3963963964,146.0
980,3002,0,3.394722864,3.60588235294,17.0,68.5405405405,41.0
982,3004,3,3.570833333,8.8625,56.0,68.6126126126,35.0
986,3016,1,4.336468401,7.54947368421,95.0,69.045045045,44.0
992,3026,0,4.255251018,6.51140186916,107.0,69.4054054054,6.0
994,3028,2,4.048174037,6.69349593496,123.0,69.4774774775,12.0
996,3032,0,5.696911488,8.19226804124,194.0,69.6216216216,14.0
998,3038,0,4.938184524,7.15084745763,118.0,69.8378378378,1.0
1000,3040,1,4.307068966,5.821875,32.0,69.9099099099,62.0
1002,3042,0,4.286344411,5.4744,125.0,69.981981982,3.0
1004,3046,1,4.819904215,6.47266666667,150.0,70.1261261261,16.0
1006,3056,0,5.270089419,6.74402515723,159.0,70.4864864865,18.0
1008,3070,0,3.267739558,6.41304347826,46.0,70.990990991,11.0
1010,3078,0,4.117865772,7.41644970414,169.0,71.2792792793,13.0
1012,3084,0,4.391440162,5.34482758621,58.0,71.4954954955,2.0
1014,3090,3,4.187901701,5.29872611465,157.0,71.7117117117,130.0
1016,3092,1,5.625233161,5.11899082569,218.0,71.7837837838,3.0
1018,3100,0,5.183418259,7.95745928339,307.0,72.0720720721,6.0
1020,3104,0,3.577246193,6.1867219917,241.0,72.2162162162,62.0
1026,3116,0,4.803727273,8.94641975309,243.0,72.6486486486,13.0
1028,3118,1,4.325639098,6.82233009709,103.0,72.7207207207,71.0
1030,3130,0,3.885862786,9.13783783784,74.0,73.1531531532,23.0
1032,3132,1,3.413985714,8.47837837838,37.0,73.2252252252,25.0
1034,3146,1,5.006406534,6.13529411765,102.0,73.7297297297,35.0
1036,3150,0,3.695478662,5.64814814815,162.0,73.8738738739,83.0
1038,3152,0,3.394010485,5.05297029703,202.0,73.9459459459,42.0
1040,3156,0,4.836119186,3.59414847162,229.0,74.0900900901,194.0
1044,3166,2,3.514514768,6.02222222222,72.0,74.4504504505,42.0
1046,3168,1,4.023456633,4.66163522013,159.0,74.5225225225,60.0
1048,3170,0,5.194594223,6.14437086093,151.0,74.5945945946,5.0
1050,3178,0,3.965456853,5.39185185185,270.0,74.8828828829,19.0
1052,3182,0,3.15314741,5.3640625,192.0,75.027027027,130.0
1054,3186,0,4.362055138,7.66366666667,60.0,75.1711711712,3.0
1056,3190,1,2.600401235,7.6,39.0,75.3153153153,39.0
1058,3194,1,3.054685535,5.05652173913,23.0,75.4594594595,36.0
1060,3200,0,4.846288136,6.87549668874,151.0,75.6756756757,5.0
1062,3204,0,4.994654896,7.3128,175.0,75.8198198198,18.0
1064,3210,0,3.965495627,5.42235294118,85.0,76.036036036,34.0
1070,3216,1,4.174244966,5.68620689655,87.0,76.2522522523,50.0
1074,3222,0,4.019705882,9.23805309735,113.0,76.4684684685,4.0
1076,3230,0,4.80888412,6.62038216561,157.0,76.7567567568,33.0
1082,3252,0,5.231545828,6.54461538462,117.0,77.5495495495,28.0
1084,3258,2,3.900267857,8.53333333333,15.0,77.7657657658,8.0
