,stu_id,class,avg_s,avg_c,mon_count_c,topN,times
57,179,0,8.35,9.107692308,13.0,40.2547770701,
58,184,0,4.100019608,5.388785047,107.0,40.008783487,12.0
59,185,0,4.624626866,3.487356322,87.0,40.0527009223,10.0
60,186,1,3.494115385,12.43188406,69.0,40.0966183575,59.0
61,187,0,4.443311688,4.675,64.0,40.1405357927,46.0
62,192,0,5.664705882,4.4,1.0,40.3601229688,
63,193,0,7.301566265,11.06666667,3.0,40.404040404,
64,194,0,6.699382716,4.480645161,31.0,40.4479578393,
65,195,0,7.891111111,33.7,2.0,40.4918752745,
66,198,0,6.432321429,3.2,3.0,40.6236275801,2.0
67,199,0,6.637931034,4.0,1.0,40.6675450154,
68,206,0,7.470588235,1.0,1.0,41.0188844971,
69,207,0,6.8375,,,41.0628019324,
70,212,0,5.200448549,5.916071429,336.0,39.3951946976,
71,213,0,6.090699708,5.71056338,284.0,39.4366197183,2.0
72,216,0,4.553765743,13.64067797,177.0,39.5608947804,6.0
73,217,0,4.206684492,12.31290323,186.0,39.6023198012,
74,220,3,3.472128514,6.506097561,82.0,39.7265948633,3.0
75,221,3,3.174390244,3.033333333,3.0,39.9337199669,
76,224,0,3.391273585,6.313793103,29.0,40.057995029,2.0
77,225,0,4.835075758,3.645789474,38.0,40.0994200497,
78,230,0,3.048059441,5.034579125,297.0,40.347970174,7.0
79,231,0,3.431133747,5.675138122,181.0,40.3893951947,16.0
80,232,1,4.488761905,7.005,134.0,40.4308202154,4.0
81,233,0,4.145389908,5.785662651,166.0,40.4722452361,4.0
82,236,0,4.094965035,7.612154696,181.0,40.5965202983,2.0
83,237,0,4.004109817,8.440789474,76.0,40.7207953604,
84,238,1,4.914400826,6.685135135,148.0,40.7622203811,80.0
85,239,0,4.797579299,7.075,144.0,40.8036454018,16.0
86,244,1,3.368422619,8.451612903,31.0,41.0521955261,
87,245,1,4.761974522,12.05217391,23.0,41.0936205468,1.0
88,254,0,3.744497908,7.804521739,115.0,76.902173913,13.0
89,255,0,3.348592593,5.905504587,109.0,77.1739130435,
90,258,0,5.230331126,10.55843373,166.0,77.4456521739,
91,259,0,4.986440678,12.51132075,106.0,77.7173913043,6.0
92,266,0,3.831827957,7.682857143,21.0,79.0760869565,6.0
93,267,0,3.702477718,4.90141844,141.0,79.347826087,24.0
94,282,0,5.973156966,12.2130742,283.0,41.2581344902,24.0
95,283,0,6.849818182,14.94913793,116.0,43.4273318872,
96,288,0,4.491071429,7.132835821,268.0,54.2299349241,
97,289,0,3.998646035,8.748746518,359.0,56.3557483731,
98,294,0,4.300236887,7.671280488,164.0,57.3101952278,5.0
99,295,0,3.730844444,6.187969925,133.0,57.3535791757,46.0
100,296,2,4.336953846,9.422966102,118.0,57.3969631236,26.0
101,297,3,4.028146611,5.303296703,91.0,57.4403470716,30.0
102,300,0,3.913191489,11.2904,375.0,57.5704989154,
103,301,0,3.525972973,12.63913846,325.0,57.6138828633,
104,306,0,4.193414634,6.319230769,52.0,57.830802603,
105,307,0,3.414164524,5.874918033,61.0,57.874186551,
106,322,0,4.126658291,6.791753846,325.0,58.5249457701,9.0
107,323,0,4.409648241,6.806887755,392.0,58.568329718,16.0
108,330,0,4.635368664,12.35007407,135.0,58.9587852495,21.0
109,331,0,4.137073171,9.007894737,152.0,59.0021691974,
110,346,0,4.725627803,12.30764331,157.0,59.6529284165,27.0
111,347,0,4.850998336,10.71504425,113.0,59.6963123644,36.0
112,352,0,3.818089172,7.438268156,179.0,59.9132321041,6.0
113,353,0,4.041637168,9.679710145,138.0,59.9566160521,28.0
114,354,0,3.527481273,7.299055118,127.0,60.0,55.0
115,355,0,3.814533528,7.887421384,159.0,60.0433839479,33.0
116,366,0,5.96808,9.204038462,52.0,60.626029654,2.0
117,367,0,5.427228916,8.580952381,42.0,60.7907742998,
118,368,0,4.856116505,11.94821429,56.0,60.9555189456,
119,369,0,6.934266667,12.325,36.0,61.1202635914,
120,372,0,6.513157895,16.56363636,11.0,94.1261261261,4.0
121,373,0,4.632142857,12.51818182,11.0,94.5225225225,
122,398,1,7.873333333,,,99.5946941783,11.0
123,399,1,7.132738095,4.831034483,29.0,99.6315401621,18.0
124,400,0,8.311111111,3.683870968,31.0,99.6683861459,22.0
125,401,0,6.396521739,5.757142857,14.0,99.7052321297,20.0
126,406,0,7.646808511,4.9,1.0,99.8894620486,
127,407,0,,,,99.9263080324,
128,408,2,5.281764706,3.0,2.0,99.9631540162,11.0
129,409,3,5.806829268,7.271428571,7.0,100.0,22.0
130,412,1,3.384763033,5.181481481,27.0,58.0364540182,38.0
131,413,1,4.216034483,7.281355932,59.0,58.0778790389,32.0
132,426,0,3.445684755,6.85342723,213.0,74.0099009901,54.0
133,427,0,3.402150117,8.460283688,141.0,74.2574257426,31.0
134,430,1,3.337994723,12.2261875,160.0,75.0,10.0
135,431,1,3.410582278,12.08333333,108.0,75.2475247525,
136,438,0,4.061657559,9.979310345,174.0,76.9801980198,44.0
137,439,0,3.902582938,7.791803279,122.0,77.2277227723,2.0
138,440,0,4.260669371,11.11929577,142.0,77.4752475248,33.0
139,441,0,5.056850394,9.728571429,49.0,77.7227722772,10.0
140,448,0,3.703626374,8.027844828,116.0,79.4554455446,13.0
141,449,0,3.891149144,9.080444444,90.0,79.702970297,23.0
142,450,0,5.208460411,14.05656566,99.0,79.9504950495,11.0
143,451,0,4.734288355,10.80534483,116.0,80.198019802,10.0
144,470,0,3.63112069,7.984848485,66.0,84.900990099,21.0
145,471,0,4.103389831,8.426573427,143.0,85.6435643564,8.0
146,476,3,3.84013986,7.684074074,54.0,86.8811881188,18.0
147,477,2,4.657133858,7.2421875,64.0,87.1287128713,26.0
148,480,2,3.94769103,7.094210526,57.0,87.8712871287,135.0
149,481,0,4.679151847,7.835616438,73.0,88.6138613861,48.0
150,496,0,6.23450565,10.21111111,63.0,92.3267326733,
151,497,0,4.458154362,12.43333333,54.0,92.5742574257,9.0
152,504,0,5.644012739,8.148717949,156.0,81.4134275618,29.0
153,505,0,5.820372208,9.374278215,381.0,81.4487632509,2.0
154,508,0,5.418477366,8.985714286,238.0,81.554770318,
155,509,0,6.161521438,6.375961538,104.0,81.5901060071,
156,510,1,4.355483871,10.18632479,117.0,81.6607773852,
157,511,0,6.178333333,9.787205882,68.0,81.6961130742,
158,522,2,4.169566855,5.998148148,54.0,82.0494699647,7.0
159,523,2,4.597099768,7.288513514,74.0,82.0848056537,4.0
160,524,0,6.138457944,9.111607143,224.0,82.1201413428,16.0
161,525,0,5.416308068,9.752352941,170.0,82.1554770318,
162,528,1,4.364323232,8.998139535,301.0,82.2614840989,5.0
163,529,1,5.268617886,8.421404682,299.0,82.296819788,
164,532,0,5.300619266,10.08406593,182.0,82.4381625442,3.0
165,533,0,4.886218236,9.881182796,186.0,82.4734982332,
166,534,1,3.976423267,10.09909091,99.0,82.5088339223,7.0
167,535,2,4.217683284,10.71086957,92.0,82.5441696113,
168,536,0,4.973201531,14.02333333,60.0,82.5795053004,7.0
169,537,3,5.505565006,10.94909091,55.0,82.6148409894,
170,552,0,4.186766467,7.016666667,96.0,83.2862190813,53.0
171,553,0,4.400036014,7.818461538,65.0,83.3215547703,58.0
172,564,1,2.772853828,7.402702703,37.0,83.7455830389,4.0
173,565,1,3.123072464,10.11785714,28.0,83.7809187279,
174,566,0,3.013268921,9.316666667,24.0,83.816254417,29.0
175,567,0,4.279602273,7.494736842,19.0,83.851590106,5.0
176,572,0,4.102917342,8.749180328,61.0,84.0636042403,1.0
177,573,0,4.546332454,8.204225352,71.0,84.0989399293,8.0
178,576,2,3.692795918,12.125,16.0,84.2049469965,9.0
179,577,3,4.299710425,7.488571429,70.0,84.2402826855,14.0
180,580,0,5.597304527,10.89278351,97.0,84.3816254417,4.0
181,581,0,4.872571429,7.917021277,94.0,84.4169611307,
182,584,0,4.366626794,8.138095238,63.0,84.5229681979,12.0
183,585,0,4.073991354,7.852,50.0,84.5583038869,
184,596,0,4.722415094,7.868421053,95.0,85.0530035336,
185,597,0,5.93283237,7.236969697,165.0,85.0883392226,5.0
186,602,0,5.443605948,13.00338983,118.0,85.3003533569,7.0
187,603,0,5.853865699,10.1478022,182.0,85.3356890459,5.0
188,606,0,3.680022422,8.601098901,91.0,85.4416961131,1.0
189,607,0,4.079545455,7.378257576,132.0,85.4770318021,4.0
190,612,0,4.779032258,7.63855615,374.0,85.6890459364,55.0
191,613,0,4.272418301,7.674320557,287.0,85.7243816254,26.0
192,616,0,4.414534314,5.842798354,243.0,85.8303886926,2.0
193,617,1,4.671517857,8.217741935,124.0,85.8657243816,4.0
194,624,0,3.293629139,11.44130435,46.0,86.148409894,97.0
195,625,0,3.032659574,10.15405405,37.0,86.183745583,37.0
196,626,0,2.938908046,9.466666667,75.0,86.2190812721,15.0
197,627,0,2.824114114,7.901724138,58.0,86.2544169611,12.0
198,634,0,4.968964401,6.564912281,57.0,86.4664310954,
199,635,0,5.047380952,6.325,36.0,86.5017667845,
200,636,0,3.782054329,7.011409396,149.0,86.6077738516,12.0
201,637,2,4.397133479,5.992079208,101.0,86.6431095406,9.0
202,648,0,4.687085828,7.595283019,106.0,87.1378091873,
203,649,0,4.338742515,9.2625,48.0,87.1731448763,
204,650,3,3.995092879,7.655084746,118.0,87.2438162544,12.0
205,651,3,3.635218783,6.042857143,112.0,87.2791519435,43.0
206,658,0,4.139419014,5.938852459,122.0,87.5265017668,
207,659,0,3.253442266,7.176190476,105.0,87.5618374558,4.0
208,662,0,4.230826709,7.673417722,158.0,87.667844523,12.0
209,663,0,3.691283422,7.85,2.0,87.703180212,17.0
210,674,0,3.609428105,8.229442971,377.0,88.0918727915,7.0
211,675,0,3.581785714,7.877099237,393.0,88.1272084806,2.0
212,680,0,3.420669344,8.028,25.0,88.3038869258,10.0
213,681,0,4.937522936,8.2,17.0,88.3392226148,24.0
214,690,0,3.646706587,10.00131579,76.0,88.6572438163,
215,691,0,4.253854626,11.3740458,131.0,88.6925795053,
216,694,2,3.333543307,7.053846154,195.0,88.7985865724,44.0
217,695,0,3.874107143,6.013043478,253.0,88.8339222615,125.0
218,696,0,3.438243762,6.413636364,44.0,88.8692579505,35.0
219,697,0,3.563475513,7.389473684,19.0,88.9045936396,26.0
220,706,0,2.902336683,5.4775,40.0,89.222614841,7.0
221,707,1,3.499953271,5.464912281,57.0,89.25795053,21.0
222,708,0,4.526186944,5.900952381,105.0,89.2932862191,10.0
223,709,0,4.058565121,6.776470588,136.0,89.3992932862,14.0
224,712,1,3.783067227,9.115,100.0,89.5759717314,57.0
225,713,3,4.340130293,5.867021277,94.0,89.6113074205,41.0
226,714,0,3.927228571,7.605769231,52.0,89.6466431095,
227,715,0,5.332073365,16.0969697,33.0,89.6819787986,
228,718,2,4.41828125,7.609876543,162.0,89.7879858657,16.0
229,719,1,5.185536398,8.369655172,145.0,89.8233215548,35.0
230,732,0,4.258414239,15.26045455,44.0,90.3533568905,2.0
231,733,1,4.656300985,14.44929577,71.0,90.3886925795,2.0
232,742,0,5.468081705,22.02,5.0,90.7067137809,18.0
233,743,0,5.552802419,16.55454545,11.0,90.74204947,7.0
234,744,0,2.893471761,9.865102041,98.0,90.777385159,56.0
235,745,0,4.420229008,9.342045455,88.0,90.8127208481,14.0
236,746,0,4.169772182,8.096875,96.0,90.8480565371,5.0
237,747,0,4.879806034,5.679069767,172.0,90.8833922261,5.0
238,754,0,2.462593918,4.162962963,27.0,91.1307420495,113.0
239,755,0,2.797283654,3.9075,56.0,91.1660777385,103.0
240,756,2,2.935145005,4.444615385,65.0,91.2014134276,244.0
241,757,2,2.916621377,4.327222222,90.0,91.2367491166,204.0
242,762,0,4.506666667,6.938888889,18.0,91.4134275618,5.0
243,763,0,4.105944056,6.853535354,99.0,91.4487632509,
244,770,0,4.839776119,11.4204918,244.0,61.8899273105,10.0
245,771,0,5.6792,10.40202429,247.0,61.9937694704,
246,772,0,5.018300395,15.16181818,55.0,91.6961130742,
247,773,0,6.675886525,15.46,65.0,91.7314487633,
248,774,0,4.06012766,9.497727273,44.0,91.7667844523,25.0
249,775,0,5.595517241,9.426666667,45.0,91.8021201413,14.0
250,786,2,4.539197324,7.661627907,86.0,92.2614840989,81.0
251,787,3,4.742511211,9.791707317,164.0,92.296819788,34.0
252,796,0,4.284763949,7.266666667,24.0,92.6148409894,10.0
253,797,0,3.657841823,13.74102564,39.0,92.6501766784,12.0
254,800,0,3.150713202,10.0,29.0,92.7561837456,11.0
255,801,2,3.69252381,9.948387097,31.0,92.7915194346,30.0
256,802,1,3.444591503,5.417821782,101.0,92.8268551237,54.0
257,803,2,4.693634752,6.21490566,106.0,92.8621908127,17.0
258,816,0,3.999175824,7.929607843,204.0,93.3922261484,16.0
259,817,0,4.441894737,6.267647059,102.0,93.4275618375,3.0
260,820,1,4.300054545,10.46322314,242.0,93.5335689046,26.0
261,821,2,4.805167394,11.88676471,204.0,93.5689045936,8.0
262,822,0,4.230253456,9.478666667,150.0,93.6042402827,21.0
263,823,0,3.630379147,9.516326531,196.0,93.6395759717,
264,824,0,3.640070237,13.43103448,29.0,93.6749116608,30.0
265,825,0,,,,93.7102473498,
266,826,0,3.669736842,9.6,67.0,93.7455830389,56.0
267,827,0,3.50767525,10.02470588,85.0,93.851590106,70.0
268,840,0,4.404078526,7.859217391,230.0,94.3109540636,
269,841,0,3.873171965,7.220738255,298.0,94.3462897527,10.0
270,844,0,4.625776567,8.126464646,198.0,94.4522968198,
271,845,0,4.463044444,8.874829932,147.0,94.4876325088,2.0
272,878,0,5.718679245,9.119786096,187.0,95.7243816254,30.0
273,879,0,5.964050104,7.525727273,110.0,95.7597173145,95.0
274,882,0,4.932626404,11.05175439,114.0,95.8657243816,21.0
275,883,0,4.850488842,10.80192308,52.0,95.9010600707,52.0
276,886,0,3.912510288,7.15483871,62.0,96.0070671378,
277,887,0,5.834897541,9.934782609,46.0,96.0424028269,
278,890,0,3.687813121,7.383333333,120.0,96.148409894,
279,891,0,4.751364706,5.592727273,55.0,96.183745583,
280,894,3,4.537347611,12.10933333,75.0,96.2897526502,2.0
281,895,3,4.910576132,10.32202703,74.0,96.3250883392,
282,896,0,4.351761468,7.274637681,138.0,96.3604240283,
283,897,0,4.424591837,8.802315789,95.0,96.3957597173,9.0
284,898,0,4.384623824,7.675903614,83.0,96.4310954064,4.0
285,899,1,4.814779516,10.06086957,69.0,96.4664310954,1.0
286,900,0,4.106832386,12.06951456,103.0,96.5017667845,3.0
287,901,0,5.143034591,14.5084507,71.0,96.5371024735,3.0
288,908,0,2.437225673,9.486363636,22.0,96.7137809187,88.0
289,909,1,2.236681975,9.945454545,11.0,96.7491166078,113.0
290,916,0,3.906266447,7.271875,128.0,96.9964664311,57.0
291,917,0,4.822479564,7.267090909,110.0,97.0318021201,34.0
292,928,0,3.873867596,12.03627451,102.0,97.4204946996,2.0
293,929,0,5.186595745,9.274796748,123.0,97.4558303887,17.0
294,932,1,3.7117603,11.33333333,45.0,97.5618374558,10.0
295,933,2,4.932984615,8.283636364,55.0,97.5971731449,
296,936,0,5.083835616,9.397419355,155.0,97.703180212,18.0
297,937,0,4.89386423,11.18539326,89.0,97.7385159011,8.0
298,940,1,4.043246187,4.328888889,405.0,97.8445229682,5.0
299,941,1,4.596390328,4.595881007,437.0,97.8798586572,7.0
300,946,0,5.053046358,8.745454545,132.0,98.0565371025,
301,947,0,6.348997135,12.8,16.0,98.0918727915,
302,948,0,3.223997135,4.823529412,34.0,98.1272084806,19.0
303,949,3,3.157134638,5.207575758,33.0,98.1625441696,40.0
304,958,3,3.648214936,10.23258427,89.0,98.480565371,15.0
305,959,3,3.79219917,7.194569288,267.0,98.5159010601,48.0
306,966,1,2.983714653,10.68918919,37.0,98.7632508834,65.0
307,967,0,3.208948521,7.581012658,79.0,98.7985865724,37.0
308,970,0,3.072789256,7.019047619,21.0,98.9045936396,5.0
309,971,0,2.607926421,6.063157895,19.0,98.9399293286,8.0
310,988,2,3.311584582,8.3,56.0,99.5406360424,111.0
311,989,1,3.503891051,7.964473684,38.0,99.5759717314,29.0
312,990,2,3.551317734,7.607246377,138.0,99.6819787986,6.0
313,991,3,3.188744856,5.954609929,141.0,99.7173144876,22.0
314,996,0,5.73299169,7.918300654,153.0,99.8939929329,3.0
315,997,0,4.990550363,5.920610687,131.0,99.9293286219,2.0
316,998,0,3.976532951,7.654945055,182.0,99.964664311,
317,999,0,3.803374844,8.281818182,132.0,100.0,2.0
318,1002,0,4.133974522,7.920634921,126.0,0.17667844523,86.0
319,1003,0,3.808964955,7.902105263,95.0,0.212014134276,46.0
320,1006,0,4.701838235,14.37058824,51.0,0.318021201413,7.0
321,1007,0,5.256425856,13.86376812,138.0,0.353356890459,21.0
322,1010,0,4.008293839,15.575,16.0,0.459363957597,
323,1011,0,4.667239583,11.30444444,45.0,0.494699646643,
324,1012,1,4.244920319,6.906694215,121.0,0.530035335689,14.0
325,1013,2,4.476590909,7.280681818,88.0,0.565371024735,12.0
326,1016,0,4.263557692,8.063120567,141.0,0.671378091873,23.0
327,1017,0,4.150267261,7.753333333,165.0,0.706713780919,16.0
328,1020,0,4.371050955,12.78041237,97.0,0.812720848057,
329,1021,0,4.172557756,8.487323944,71.0,0.848056537102,
330,1024,0,2.629521858,5.134782609,46.0,0.95406360424,89.0
331,1025,0,3.154597544,6.429545455,44.0,0.989399293286,83.0
332,1030,0,3.735930807,6.522222222,18.0,1.16607773852,12.0
333,1031,0,7.1,,,1.20141342756,
334,1036,1,4.705580286,10.40876404,89.0,1.37809187279,12.0
335,1037,1,4.534918033,13.11016393,61.0,1.41342756184,3.0
336,1040,2,4.383932347,14.94870968,62.0,1.51943462898,
337,1041,2,3.905240175,9.578461538,65.0,1.55477031802,
338,1050,1,4.127777778,5.053191489,47.0,1.87279151943,12.0
339,1051,0,4.572597701,4.004444444,45.0,1.90812720848,5.0
340,1054,0,4.275469484,8.147169811,53.0,2.01413427562,3.0
341,1055,0,4.589299611,10.95,54.0,2.04946996466,
342,1070,0,5.267358491,10.33731707,82.0,2.50883392226,
343,1071,0,5.494086629,10.49298246,114.0,2.54416961131,
344,1082,0,4.421738035,18.33705882,102.0,2.93286219081,
345,1083,0,4.18105919,20.20215686,102.0,2.96819787986,
346,1084,0,3.702859712,10.05208333,48.0,3.0035335689,13.0
347,1085,0,4.311777409,8.458571429,35.0,3.03886925795,10.0
348,1098,0,4.031699717,9.887096774,62.0,3.49823321555,
349,1099,0,5.322806052,9.763157895,76.0,3.53356890459,2.0
350,1102,0,4.71050578,17.57777778,27.0,3.63957597173,57.0
351,1103,0,4.691758665,14.1890625,64.0,3.67491166078,56.0
352,1108,0,4.795751445,10.0027027,74.0,3.78091872792,
353,1109,0,4.163651316,7.782352941,34.0,3.81625441696,
354,1110,0,5.043886986,6.104433498,203.0,3.85159010601,2.0
355,1111,0,5.655707965,9.281751825,137.0,3.88692579505,
356,1118,0,3.914728097,10.13670886,79.0,4.06360424028,
357,1119,0,4.741758242,7.395121951,82.0,4.09893992933,
358,1124,1,3.80207824,6.937142857,140.0,4.69964664311,2.0
359,1125,2,4.667863777,6.105405405,185.0,4.73498233216,3.0
360,1132,1,3.437195513,8.211666667,48.0,5.19434628975,13.0
361,1133,2,4.404047619,6.252112676,71.0,5.58303886926,4.0
362,1136,0,4.898705036,11.73229167,96.0,6.74911660777,
363,1137,0,4.000724234,12.38095238,63.0,7.06713780919,6.0
364,1138,1,4.346940559,12.9484375,64.0,7.45583038869,5.0
365,1139,1,4.300423131,11.85774648,71.0,7.8445229682,10.0
366,1142,0,3.3871949,7.136956522,46.0,8.93992932862,13.0
367,1143,0,3.171809145,5.493939394,33.0,9.32862190813,102.0
368,1154,0,3.800515152,10.0244186,86.0,13.6042402827,14.0
369,1155,0,3.583783784,8.822222222,9.0,13.9929328622,
370,1170,0,4.611880952,11.04886364,88.0,19.8233215548,4.0
371,1171,0,4.497833333,13.80857143,35.0,20.2120141343,
372,1172,0,5.011803874,7.807471264,174.0,20.6007067138,2.0
373,1173,0,4.78512301,8.52,160.0,20.9893992933,2.0
374,1174,0,4.844438944,10.24,75.0,21.3780918728,6.0
375,1175,0,4.1675,8.08,70.0,21.7667844523,
376,1182,0,3.757883523,12.50869565,69.0,24.4169611307,52.0
377,1183,1,3.770191083,6.665217391,46.0,24.8056537102,60.0
378,1184,0,3.8646875,11.87173913,46.0,25.1943462898,60.0
379,1185,0,3.906603221,5.596363636,55.0,25.5830388693,121.0
380,1186,0,5.210522876,10.1576,125.0,25.9717314488,3.0
381,1187,0,5.553958333,10.05384615,91.0,26.3604240283,3.0
382,1192,0,4.657647059,12.88943396,106.0,28.3038869258,20.0
383,1193,0,4.823509514,8.9125,96.0,28.6925795053,25.0
384,1196,2,3.916152898,8.666896552,145.0,29.8586572438,32.0
385,1197,3,4.341543909,7.8525,160.0,30.2473498233,53.0
386,1200,0,5.175408719,11.17075758,66.0,31.4134275618,6.0
387,1201,0,4.362798982,6.094352941,85.0,31.8021201413,20.0
388,1202,1,3.292246377,5.245652174,46.0,32.1908127208,11.0
389,1203,3,4.090471698,9.455555556,36.0,32.5795053004,15.0
390,1218,0,4.274816568,11.97391304,161.0,38.3392226148,1.0
391,1219,0,4.68007874,6.94691358,162.0,38.7279151943,5.0
392,1222,0,4.259681529,17.79253731,67.0,39.8939929329,2.0
393,1223,0,4.477889447,15.21714286,70.0,40.2826855124,
394,1226,0,3.555438596,5.1,40.0,25.0,63.0
395,1227,0,4.480734767,6.751724138,29.0,25.2475247525,117.0
396,1228,0,7.484429224,13.48064516,124.0,42.0848056537,
397,1229,0,8.025945122,15.62894737,76.0,42.4734982332,4.0
398,1236,0,4.381258389,8.231623932,117.0,45.0530035336,38.0
399,1237,0,4.285804749,4.227162791,215.0,45.4416961131,25.0
400,1242,0,5.977179837,11.38676471,136.0,47.3144876325,
401,1243,0,6.138775168,11.32230769,260.0,47.3498233216,2.0
402,1248,0,5.164525066,8.895726496,234.0,47.5265017668,35.0
403,1249,0,6.19877551,10.12657658,222.0,47.5618374558,5.0
404,1254,0,3.448993103,11.605,20.0,47.7385159011,5.0
405,1255,0,3.467472793,9.077333333,75.0,47.7738515901,
406,1258,1,3.812836412,10.41568627,51.0,47.8798586572,44.0
407,1259,0,3.238806228,5.725,40.0,47.9151943463,53.0
408,1260,3,3.115121951,12.39677419,31.0,47.9505300353,3.0
409,1261,2,2.773356941,4.557692308,26.0,47.9858657244,58.0
410,1264,0,4.660841584,8.628571429,84.0,48.0918727915,11.0
411,1265,0,4.680545194,11.47454545,55.0,48.1272084806,39.0
412,1266,0,5.197511962,9.944189189,74.0,48.1625441696,3.0
413,1267,0,4.579282787,9.687234043,47.0,48.1978798587,6.0
414,1278,0,4.163398438,9.838571429,70.0,48.5865724382,55.0
415,1279,0,4.583346457,10.33218391,87.0,48.6219081272,37.0
416,1286,0,3.578913043,6.965454545,55.0,48.8692579505,2.0
417,1287,0,4.307672956,5.043428571,210.0,48.9045936396,1.0
418,1294,1,4.401089494,6.511940299,67.0,49.1519434629,37.0
419,1295,1,6.047684564,7.535135135,111.0,49.1872791519,36.0
420,1296,3,3.55377193,9.811764706,136.0,49.222614841,28.0
421,1297,3,5.265625,6.356875,160.0,49.25795053,4.0
422,1300,0,3.38465704,8.458163265,98.0,49.3639575972,7.0
423,1301,0,3.807250996,7.848113208,106.0,49.3992932862,2.0
424,1302,0,3.826059322,7.992105263,38.0,49.4346289753,
425,1303,0,3.975961538,13.42380952,42.0,49.4699646643,
426,1308,0,4.55,8.891326531,196.0,49.6466431095,8.0
427,1309,0,4.367133333,9.4239819,221.0,49.6819787986,2.0
428,1312,1,4.82309322,9.549579832,119.0,49.7879858657,2.0
429,1313,1,4.4,9.66,5.0,49.8233215548,
430,1328,0,4.385807407,11.54525547,137.0,50.3533568905,11.0
431,1329,0,4.556126418,7.064827586,145.0,50.3886925795,16.0
432,1330,0,4.816421725,9.696813187,91.0,50.4240282686,3.0
433,1331,0,6.520689655,10.41111111,18.0,50.4593639576,
434,1332,0,3.922840376,10.88571429,140.0,50.4946996466,
435,1333,0,5.804129693,10.20408163,147.0,50.5300353357,8.0
436,1334,0,3.652463127,3.546125,80.0,50.5653710247,15.0
437,1335,3,3.93630137,4.5225,40.0,50.6007067138,35.0
