id,consume,consumesum,consumeavg,consumemax,remaindersum,remainderavg,remaindermax,s_avg,s_max,c_count,c_avg,c_max
32,371,2093.69,5.62819892473,100.0,8184.61,22.0016397849,104.85,4.11031746032,11.5,2.0,0.3,0.3
33,11,97.52,8.86545454545,50.0,246.6,22.4181818182,50.03,,,,,
34,1104,7647.02,6.92664855072,500.0,147004.16,133.155942029,507.8,4.660501002,25.0,86.0,8.48604651163,23.0
35,1066,7026.19,6.58499531396,220.0,69907.59,65.517891284,222.51,3.03105150215,14.0,127.0,7.85614173228,43.5
36,1769,10576.95,5.96556683587,200.0,122187.71,68.9157980823,232.37,3.42413636364,25.0,61.0,8.56655737705,30.0
37,1641,14349.76,8.73387705417,200.0,154266.52,93.8931953743,269.75,4.40698924731,30.0,191.0,6.21712041885,33.8
38,1101,10766.58,9.5027184466,200.0,111509.92,98.4200529568,294.69,4.7405862069,16.0,142.0,16.751971831,73.6
39,968,10582.5,10.9323347107,200.0,76567.49,79.0986466942,221.83,4.53891304348,24.0,171.0,16.667251462,74.2
46,1544,12886.69,8.33011635423,200.0,97448.62,62.9919974144,203.55,4.1282010582,27.0,110.0,7.55545454545,30.0
47,1219,11054.76,9.03166666667,180.0,70452.35,57.5591094771,184.43,5.84395904437,20.0,99.0,7.82555555556,30.0
48,2291,15708.22,6.85051024858,200.0,110357.91,48.1281770606,206.74,3.75211162791,15.0,210.0,6.18047619048,30.0
49,435,2863.2,6.58206896552,100.0,16428.06,37.7656551724,121.4,3.72027888446,13.7,31.0,5.82258064516,27.8
56,172,2102.8,12.2255813953,300.0,16191.98,94.1394186047,301.04,5.26052631579,12.0,10.0,7.47,24.2
57,85,812.4,9.55764705882,200.0,5557.9,65.3870588235,205.64,4.5,10.5,14.0,10.4571428571,23.9
60,1169,9243.31,7.89351836038,500.0,278287.51,237.649453459,692.47,4.02802147239,11.2,52.0,13.9926923077,30.0
61,1260,9320.09,7.35602999211,300.0,160265.12,126.491807419,665.02,4.20774941995,20.0,101.0,10.7001980198,69.2
62,563,5380.29,9.52263716814,200.0,56645.08,100.256778761,224.58,5.32825242718,14.5,133.0,7.86496240602,33.2
64,1166,8519.63,7.26930887372,200.0,100943.22,86.1290273038,224.71,4.39891122278,20.6,57.0,6.22807017544,20.6
65,845,6609.66,7.79441037736,200.0,85679.82,101.037523585,241.93,4.18604026846,30.0,41.0,8.37463414634,31.7
66,1421,9013.11,6.28529288703,130.0,69095.41,48.1836889819,132.9,4.06621495327,23.5,81.0,9.34814814815,36.1
67,1364,10355.62,7.48779464931,200.0,78709.14,56.9118872017,274.74,4.84444444444,15.0,190.0,8.66157894737,30.0
70,824,8103.42,9.71633093525,100.0,39857.08,47.790263789,111.83,5.62877133106,29.2,119.0,8.37058823529,41.6
71,392,2943.28,7.50836734694,100.0,16906.7,43.1293367347,113.17,4.68113636364,15.6,42.0,6.8619047619,24.3
72,735,5508.23,7.40353494624,200.0,40575.51,54.5369758065,204.37,4.27975708502,15.0,158.0,5.21772151899,22.4
73,230,1972.96,8.46763948498,100.0,14051.49,60.3068240343,137.77,5.86666666667,13.0,26.0,7.72692307692,22.5
74,1354,8762.43,6.44770419426,200.0,64554.39,47.5013907285,201.7,3.61262237762,15.0,191.0,5.24240837696,36.2
75,1650,10247.03,6.20280266344,200.0,92768.45,56.1552360775,262.44,3.52445754717,15.0,215.0,4.88697674419,21.4
76,975,11467.33,11.7133094995,200.0,160506.37,163.949305414,611.66,5.15868263473,15.0,361.0,10.6022160665,35.1
77,645,10303.31,15.9001697531,200.0,125821.6,194.169135802,556.87,3.99256756757,16.5,269.0,13.4732342007,34.1
82,783,4061.63,5.18726692209,200.0,42625.75,54.4390166028,202.0,3.86918518519,30.0,14.0,8.55,19.2
83,541,4943.0,8.98727272727,200.0,42526.9,77.3216363636,244.12,5.12390977444,24.0,49.0,8.93591836735,40.0
88,1194,11589.9,9.65825,200.0,97697.23,81.4143583333,225.45,4.81651017214,15.45,122.0,9.3393442623,30.0
89,575,5196.54,8.99055363322,100.0,42550.52,73.616816609,143.14,5.0286259542,21.5,84.0,9.39285714286,26.1
90,754,6169.49,8.14992073976,100.0,36804.74,48.6192073976,145.69,4.39093670886,15.0,44.0,9.52954545455,26.2
91,367,2408.72,6.56326975477,100.0,15511.54,42.2657765668,124.44,5.26537037037,20.0,23.0,8.40869565217,30.0
92,898,6200.14,6.84342163355,300.0,104161.36,114.968388521,327.33,4.01494226328,15.0,36.0,12.7388888889,30.0
93,1086,9919.71,9.01791818182,500.0,187427.01,170.388190909,515.62,4.88169398907,13.0,90.0,11.3115555556,30.0
96,1087,8726.67,8.02821527139,100.0,54351.67,50.0015363385,134.3,4.04847916667,11.0,136.0,6.21764705882,84.0
97,1005,9129.89,9.06642502483,200.0,57976.59,57.5735749752,211.9,4.74776674938,20.0,164.0,6.94024390244,36.9
98,1244,8594.55,6.84824701195,200.0,109561.95,87.3003585657,208.0,3.08141071429,10.0,106.0,7.39811320755,30.0
99,1148,8206.18,7.14824041812,400.0,115133.52,100.290522648,401.38,4.85647058824,10.0,191.0,6.33471204188,62.1
100,1223,9992.82,8.11764419171,400.0,80728.8,65.5798537774,401.11,4.53791187739,23.7,124.0,7.95080645161,30.0
101,1428,14863.39,10.2013658202,200.0,99138.48,68.0428826356,412.38,4.52443651926,15.0,153.0,10.5980392157,51.7
102,797,8489.86,10.3408769793,200.0,44118.66,53.7377101096,216.6,4.30467005076,30.0,104.0,13.4864423077,30.0
103,328,3460.04,10.2671810089,100.0,16735.71,49.6608605341,108.13,4.95641025641,15.0,63.0,11.8015873016,30.0
104,1681,8619.19,5.11221233689,100.0,86279.31,51.1739679715,121.37,4.45066162571,20.0,112.0,6.68214285714,30.0
105,1720,9453.31,5.49611046512,600.0,153010.2,88.9594186047,601.62,4.93658823529,12.8,150.0,5.782,30.0
108,1153,6352.2,5.50450606586,400.0,178522.59,154.698951473,458.63,3.51358333333,30.0,41.0,7.03170731707,30.0
109,1844,9263.92,5.02381778742,400.0,252409.91,136.881729935,403.76,4.2112605042,10.0,14.0,1.25,2.0
110,759,9949.24,13.1083530962,200.0,43491.67,57.3012779974,202.96,6.5246130031,26.0,193.0,8.32227979275,30.0
111,95,1011.0,10.6421052632,100.0,7708.29,81.1398947368,201.31,7.53846153846,14.6,,,
112,804,5979.94,7.43773631841,200.0,46016.91,57.2349626866,207.61,6.88964912281,20.0,8.0,3.9375,6.0
113,554,4198.03,7.57767148014,100.0,31189.11,56.298032491,137.14,6.96111111111,17.0,7.0,12.0714285714,31.9
114,1487,15198.78,10.2211028917,300.0,220411.8,148.225823806,342.65,7.56407894737,16.0,6.0,3.4,6.4
115,1348,11422.87,8.47393916914,300.0,207770.46,154.132388724,393.82,7.925,10.6,7.0,8.08571428571,16.0
116,2054,8809.71,4.28905063291,800.0,539978.17,262.891027264,874.33,7.44071428571,13.0,29.0,1.81034482759,5.5
117,1432,10577.44,7.38648044693,600.0,244415.82,170.681438547,628.87,5.91494949495,13.0,76.0,4.46447368421,11.6
118,1650,12097.97,7.3321030303,300.0,112530.31,68.2001878788,314.43,5.99047619048,21.0,,,
119,973,9261.57,9.51857142857,400.0,103575.99,106.450143885,400.76,6.62291666667,12.0,22.0,8.35454545455,25.0
120,1817,9507.54,5.2325481563,600.0,229263.68,126.177039075,633.78,6.14,15.7,24.0,3.625,6.7
121,1658,12175.79,7.34366103739,500.0,205350.15,123.854131484,518.63,6.57816901408,20.0,21.0,6.3380952381,20.4
136,1802,13863.43,7.69335738069,200.0,122301.0,67.8695893452,240.68,4.73416666667,10.6,6.0,8.1,20.3
137,1931,13582.94,7.03414810979,200.0,146789.51,76.0173537027,225.54,5.17268292683,15.6,24.0,11.8625,25.0
138,1683,10803.34,6.41909685086,300.0,94830.11,56.3458764112,307.28,5.87621359223,11.0,12.0,4.11666666667,6.5
139,1198,10514.11,8.77638564274,300.0,96629.98,80.6594156928,315.65,7.1547107438,17.0,26.0,9.71538461538,19.0
140,697,6607.76,9.48028694405,100.0,32738.9,46.9711621234,116.24,7.65063291139,22.0,,,
141,558,5156.16,9.24043010753,200.0,27867.81,49.942311828,204.86,7.46054545455,13.0,1.0,1.0,1.0
142,582,5040.66,8.66092783505,200.0,41538.71,71.3723539519,233.93,4.6824537037,12.0,59.0,10.2759322034,82.5
143,1138,8758.71,7.68307894737,200.0,72590.86,63.6761929825,204.06,5.10200564972,20.6,91.0,9.20549450549,60.4
146,1765,8787.45,4.97872521246,200.0,100473.27,56.9253654391,206.36,4.69736842105,7.0,16.0,8.684375,60.5
147,1393,8716.11,6.25707824838,100.0,70531.47,50.6327853553,115.62,5.08695652174,8.0,14.0,6.41642857143,30.0
148,1245,9800.43,7.8718313253,200.0,139415.68,111.980465863,273.97,4.85752688172,9.0,1.0,3.4,3.4
149,968,8917.41,9.21220041322,200.0,105163.12,108.639586777,229.35,6.725,13.0,1.0,8.0,8.0
152,1910,11800.87,6.17846596859,300.0,207306.8,108.537591623,351.47,6.58046875,13.3,1.0,3.1,3.1
153,1736,13706.72,7.89557603687,300.0,237620.3,136.878052995,315.87,5.97083333333,11.0,10.0,8.72,42.9
154,2133,12310.95,5.77165963432,100.0,121396.75,56.9136193155,140.86,3.26411764706,9.0,48.0,4.775,16.6
155,1859,12033.66,6.47318988704,115.77,101793.73,54.7572512103,128.29,5.34117647059,8.6,66.0,4.16515151515,16.8
158,966,6436.93,6.64972107438,200.0,65316.14,67.4753512397,202.58,3.73716814159,14.0,91.0,6.81758241758,62.0
159,1731,10981.76,6.34417099942,200.0,94806.18,54.7696013865,209.12,6.43676470588,10.6,34.0,4.0,21.2
160,837,6652.94,7.92960667461,300.0,85913.01,102.399296782,331.39,3.70854166667,14.0,55.0,8.00763636364,29.8
161,913,7987.81,8.74897042716,200.0,81922.99,89.7294523549,256.97,6.55,12.0,4.0,2.65,5.6
162,1567,8827.08,5.61162110617,200.0,115435.87,73.3858041958,216.64,3.83916666667,10.8,176.0,4.81761363636,21.5
163,835,6666.63,7.98398802395,200.0,75007.67,89.8295449102,226.83,5.57916666667,7.0,24.0,5.30833333333,26.4
166,1858,13159.9,7.06003218884,700.0,528085.91,283.307891631,756.74,3.57831442464,18.0,230.0,6.83691304348,30.0
167,2094,13382.57,6.39091212989,800.0,480754.03,229.586451767,823.92,5.53155963303,10.0,188.0,3.81276595745,15.4
172,575,6539.85,11.3736521739,300.0,63731.38,110.837182609,319.02,7.11514285714,8.0,21.0,3.34285714286,12.5
173,140,2343.8,16.7414285714,300.0,14592.0,104.228571429,300.14,14.3,20.6,6.0,8.53333333333,15.0
178,1295,13196.65,10.1904633205,300.0,123402.33,95.2913745174,309.56,6.74048484848,17.0,7.0,0.321428571429,2.0
179,498,4720.35,9.47861445783,200.0,43730.96,87.8131726908,225.49,8.35,23.25,13.0,9.10769230769,17.0
182,245,1479.14,6.03730612245,200.0,13822.92,56.4200816327,200.09,5.61851851852,10.6,7.0,14.5428571429,30.0
183,136,1085.01,7.97801470588,200.0,6416.93,47.1833088235,201.25,6.67625,13.0,5.0,13.34,15.6
184,1457,10034.19,6.86802874743,600.0,240650.37,164.716201232,601.45,4.10001960784,16.2,107.0,5.38878504673,30.0
185,1629,11055.04,6.78639656231,300.0,130392.79,80.0446838551,304.73,4.62462686567,11.5,87.0,3.48735632184,20.2
186,1617,8078.19,4.98653703704,200.0,182691.71,112.772660494,294.7,3.49411538462,10.35,69.0,12.431884058,98.2
187,3388,13476.55,3.97773022432,100.0,281491.6,83.0848878394,195.8,4.44331168831,12.6,64.0,4.675,24.0
190,747,7224.91,9.64607476636,300.0,58675.15,78.3379839786,303.04,5.35497854077,20.3,68.0,11.0691176471,30.0
191,819,7615.0,9.29792429792,400.0,76451.45,93.3473137973,411.34,4.97573529412,11.0,20.0,3.635,10.6
192,950,8716.14,9.17488421053,300.0,134329.06,141.399010526,322.86,5.66470588235,10.0,1.0,4.4,4.4
193,955,8127.78,8.51076439791,300.0,117940.01,123.49739267,319.8,7.30156626506,20.0,3.0,11.0666666667,25.6
194,926,8910.16,9.62220302376,200.0,86408.7,93.3139308855,237.72,6.69938271605,17.0,31.0,4.48064516129,11.5
195,597,6388.17,10.7004522613,200.0,53193.05,89.1005862647,209.21,7.89111111111,13.0,2.0,33.7,59.2
198,480,5605.15,11.6773958333,200.0,35541.57,74.0449375,202.22,6.43232142857,30.0,3.0,3.2,4.3
199,328,4107.55,12.5230182927,200.0,28615.25,87.2416158537,257.16,6.63793103448,14.4,1.0,4.0,4.0
200,977,5178.32,5.20434170854,200.0,47135.18,47.372040201,206.81,4.31570397112,30.0,40.0,7.325,27.6
201,916,7727.95,8.43662663755,300.0,64899.93,70.8514519651,300.65,5.44343023256,23.5,28.0,11.7928571429,30.0
202,1740,9417.61,5.41241954023,400.0,155411.78,89.3171149425,429.95,6.58253012048,14.0,1.0,1.0,1.0
203,1638,8389.09,5.12154456654,200.0,85751.82,52.3515384615,200.51,6.82567567568,12.6,5.0,7.78,12.0
204,2644,14064.92,5.3195612708,300.0,208771.51,78.9604803328,324.28,6.90178571429,14.0,6.0,6.28333333333,19.4
205,1759,10300.03,5.85561682774,100.0,110950.96,63.0761569073,152.27,6.97027272727,20.6,4.0,5.775,9.0
206,953,5041.44,5.29007345226,100.0,36182.46,37.9669045121,118.78,7.47058823529,10.5,1.0,1.0,1.0
207,341,2794.31,8.19445747801,138.79,20271.14,59.4461583578,156.3,6.8375,20.6,,,
212,1253,11169.14,8.90681020734,300.0,111466.44,88.888708134,304.07,5.20044854881,15.6,336.0,5.91607142857,30.0
213,1025,9522.31,9.23599418041,300.0,98067.68,95.1189912706,390.92,6.09069970845,20.0,284.0,5.71056338028,30.0
214,2083,12426.86,5.94871230254,200.0,184996.62,88.5575011967,480.2,4.17329032258,21.3,336.0,6.21428571429,30.0
215,1480,9979.74,6.70681451613,200.0,85426.29,57.410141129,213.63,4.4206443299,30.0,254.0,6.01496062992,77.4
216,1749,15832.48,9.02649942987,700.0,690112.31,393.450575827,879.03,4.55376574307,17.8,177.0,13.6406779661,92.3
217,1123,9794.59,8.67545615589,700.0,356407.0,315.683790965,779.64,4.20668449198,16.0,186.0,12.3129032258,59.3
218,1879,8984.16,4.77373007439,100.0,103682.58,55.0917003188,163.9,4.21170040486,25.0,93.0,4.29892473118,21.3
219,1880,9333.9,4.92034791776,100.0,111943.38,59.0107432789,129.86,3.24414201183,12.2,106.0,3.61320754717,10.9
220,1172,7049.88,5.97447457627,300.0,74310.32,62.9748474576,302.72,3.47212851406,14.2,82.0,6.50609756098,25.6
221,87,663.85,7.63045977011,100.0,3974.56,45.6845977011,108.2,3.1743902439,8.8,3.0,3.03333333333,5.1
224,521,2911.09,5.55551526718,100.0,18802.05,35.8817748092,115.29,3.39127358491,20.4,29.0,6.31379310345,23.8
225,497,2881.55,5.7631,100.0,15099.01,30.19802,113.29,4.83507575758,15.0,38.0,3.64578947368,14.1
228,601,4397.16,7.20845901639,200.0,70626.8,115.781639344,270.43,3.65394822006,30.0,45.0,11.6933333333,95.3
229,1104,10013.01,9.05335443038,200.0,68222.99,61.6844394213,269.96,4.07607758621,17.8,123.0,12.242195122,86.55
230,2749,15839.17,5.76179337941,300.0,318169.91,115.74023645,302.58,3.04805944056,13.9,297.0,5.03457912458,30.0
231,2284,14870.48,6.50217752514,500.0,308276.38,134.79509401,500.27,3.43113374668,30.0,181.0,5.67513812155,21.6
232,944,7208.52,7.57993690852,200.0,57772.85,60.7495793901,203.0,4.48876190476,30.0,134.0,7.005,30.0
233,927,7863.22,8.37403620873,200.0,52469.71,55.87828541,205.61,4.14538990826,14.5,166.0,5.7856626506,30.0
234,2574,19552.06,7.54905791506,200.0,157578.84,60.8412509653,220.59,3.87012820513,10.9,458.0,10.330349345,32.7
235,1799,22034.56,12.0869775096,200.0,119622.64,65.6185628086,214.81,3.72762081784,15.6,533.0,13.4774859287,31.4
236,1145,9915.1,8.5475,100.0,67414.22,58.1157068966,125.65,4.09496503497,15.0,181.0,7.61215469613,30.0
237,1010,9045.64,8.87697742885,200.0,56836.99,55.7772227674,206.8,4.00410981697,15.6,76.0,8.44078947368,30.0
238,1582,11641.4,7.3447318612,800.0,217106.99,136.976018927,862.0,4.91440082645,22.8,148.0,6.68513513514,30.0
239,1493,10419.41,6.97417001339,800.0,273246.96,182.8962249,804.98,4.79757929883,25.0,144.0,7.075,50.0
244,1093,4842.72,4.4266179159,100.0,38715.63,35.3890585009,117.0,3.36842261905,27.5,31.0,8.45161290323,29.2
245,461,2988.46,6.48255965293,100.0,21187.49,45.9598481562,118.1,4.76197452229,20.5,23.0,12.052173913,22.7
250,967,10630.43,10.67312249,100.0,45876.57,46.060813253,118.51,4.96450511945,18.0,174.0,9.53908045977,32.6
251,231,2335.76,9.45651821862,100.0,6269.84,25.3839676113,110.92,5.08619047619,13.0,58.0,10.5879310345,31.3
254,1422,9081.58,6.35075524476,300.0,149821.25,104.770104895,318.3,3.74449790795,15.0,115.0,7.80452173913,30.0
255,1283,7436.73,5.76937936385,200.0,101208.48,78.5170519783,196.19,3.34859259259,15.5,109.0,5.90550458716,30.0
258,1104,8536.44,7.66287253142,200.0,61140.77,54.883994614,218.37,5.23033112583,15.75,166.0,10.5584337349,30.0
259,767,5441.59,7.01235824742,100.0,32607.57,42.020064433,140.14,4.98644067797,15.0,106.0,12.5113207547,83.7
260,1308,10426.42,7.8988030303,200.0,139623.78,105.775590909,349.86,4.32174041298,30.0,136.0,10.3923529412,30.0
261,810,4717.08,5.78782822086,200.0,77674.8,95.3065030675,252.52,3.84744047619,15.9,56.0,9.43107142857,42.1
266,306,2066.15,6.75212418301,200.0,20058.18,65.5496078431,200.11,3.83182795699,7.6,21.0,7.68285714286,30.0
267,1269,7820.93,6.14852987421,200.0,71382.23,56.1181053459,202.28,3.70247771836,30.0,141.0,4.90141843972,30.0
268,1527,10705.53,6.93363341969,200.0,129121.62,83.627992228,504.52,4.1165631068,25.0,161.0,8.14472049689,30.0
269,695,6508.05,9.25753911807,100.0,21872.52,31.1131152205,120.65,4.20712230216,19.9,124.0,8.4,41.1
270,1803,9686.95,5.33716253444,400.0,212047.73,116.830705234,401.93,6.46180769231,21.0,106.0,7.77830188679,30.0
271,945,6436.62,6.76826498423,400.0,116642.43,122.652397476,401.5,7.06674796748,30.0,83.0,8.34012048193,30.6
272,872,7302.2,8.35491990847,500.0,85962.6,98.3553775744,505.39,5.29923357664,26.6,62.0,11.2435483871,43.0
273,608,5706.93,9.34031096563,200.0,53081.21,86.8759574468,220.27,5.52520930233,14.0,62.0,11.7064516129,66.3
274,825,4768.96,5.76657799274,300.0,62821.21,75.9627690447,302.17,3.8806271777,14.5,65.0,6.76923076923,30.0
275,332,2676.81,8.06268072289,200.0,17641.22,53.1362048193,204.63,4.47909090909,13.15,36.0,6.95277777778,30.0
276,1497,8813.78,5.85633222591,200.0,110731.72,73.5758936877,212.55,3.49730769231,18.8,148.0,8.28851351351,31.4
277,1143,7403.61,6.38242241379,200.0,64885.07,55.9354051724,211.52,3.41306179775,30.0,144.0,7.77777777778,30.0
278,1291,6425.36,4.95020030817,300.0,170742.75,131.542950693,363.22,3.19595026643,10.0,47.0,5.4829787234,20.4
279,904,6432.33,7.09187431092,500.0,107162.83,118.150859978,548.06,3.74299342105,25.0,63.0,5.16555555556,16.9
282,1559,22586.34,14.3953728489,200.0,138246.53,88.1112364563,246.87,5.97315696649,30.0,283.0,12.2130742049,30.0
283,696,10064.15,14.1549226442,200.0,48793.5,68.6265822785,208.58,6.84981818182,30.0,116.0,14.949137931,32.3
286,1266,10280.0,8.12006319115,315.0,105886.88,83.6389257504,300.51,3.77553658537,13.0,145.0,10.7773793103,30.0
287,64,540.29,8.44203125,200.0,4362.82,68.1690625,208.53,3.45,9.6,5.0,7.94,15.3
288,2098,15505.51,7.38357619048,300.0,255752.45,121.786880952,320.25,4.49107142857,12.2,268.0,7.1328358209,30.0
289,1606,18350.35,11.3343730698,300.0,225852.19,139.501043854,337.52,3.99864603482,15.8,359.0,8.74874651811,39.4
290,645,4519.18,7.00648062016,100.0,16728.83,25.9361705426,105.08,3.49730337079,14.0,55.0,4.46181818182,16.8
291,1568,10608.37,6.74832697201,120.0,80741.53,51.3622964377,114.18,3.58521511018,20.0,73.0,5.35890410959,21.8
294,1554,11275.52,7.2464781491,500.0,157232.31,101.049042416,505.7,4.30023688663,16.5,164.0,7.6712804878,30.0
295,1074,8611.64,7.93699539171,200.0,90975.79,83.8486543779,213.43,3.73084444444,15.0,133.0,6.18796992481,35.0
296,1810,11235.49,6.18013751375,200.0,182067.02,100.146875688,273.0,4.33695384615,23.0,118.0,9.42296610169,30.0
297,1435,10482.59,7.28463516331,200.0,89124.09,61.9347394024,208.09,4.02814661134,30.0,91.0,5.3032967033,13.6
298,1795,12120.73,6.74122914349,300.0,233712.74,129.98483871,314.14,4.41067039106,15.6,124.0,8.60693548387,30.0
299,1919,15337.63,7.98419052577,300.0,275332.67,143.327782405,415.1,3.97411282051,29.55,66.0,5.47727272727,33.9
300,1943,22565.75,11.4314842958,200.0,131355.09,66.5425987842,218.47,3.91319148936,18.0,375.0,11.2904,32.0
301,1616,21047.77,12.9365519361,300.0,118231.7,72.6685310387,302.73,3.52597297297,17.8,325.0,12.6391384615,75.0
304,2034,13014.28,6.36395110024,200.0,181859.97,88.9290806846,253.97,3.64757785467,26.0,137.0,9.07226277372,30.0
305,1669,11185.85,6.65428316478,200.0,178379.31,106.114997026,286.38,3.73070524412,15.6,128.0,9.55359375,53.5
306,440,3151.24,7.12950226244,169.49,19633.73,44.4202036199,169.49,4.19341463415,12.2,52.0,6.31923076923,30.0
307,796,5876.87,7.355281602,200.0,58856.28,73.662428035,235.75,3.41416452442,16.0,61.0,5.87491803279,23.12
308,1334,9548.57,7.13644992526,100.0,73820.56,55.1723168909,122.77,4.23352564103,11.2,149.0,5.4033557047,24.1
309,1101,9662.88,8.76054397099,200.0,71999.64,65.2761922031,312.62,4.14365079365,9.5,214.0,7.2785046729,27.8
310,464,5154.98,11.0621888412,200.0,36687.29,78.7280901288,220.83,6.14096989967,15.0,28.0,7.02857142857,16.4
311,690,6653.41,9.62866859624,200.0,61913.41,89.5997250362,215.35,5.13666666667,24.0,88.0,5.36477272727,30.0
312,1676,6499.01,3.86385850178,600.0,211426.77,125.699625446,600.92,3.69519900498,11.2,45.0,9.20888888889,30.5
313,307,1369.38,4.44603896104,200.0,30188.59,98.0149025974,418.45,3.74597222222,10.6,10.0,13.9,49.0
318,1376,9252.51,6.66607348703,200.0,89933.35,64.7934798271,212.92,3.71675403226,28.4,112.0,8.25321428571,30.0
319,737,7312.16,9.81497986577,200.0,65443.8,87.8440268456,221.44,4.13453089245,22.0,55.0,8.91890909091,33.7
320,1320,10590.95,7.89780014914,200.0,85710.55,63.915398956,242.17,3.62141949153,16.5,296.0,5.5722972973,18.4
321,1082,10338.46,9.42430264357,150.0,71808.57,65.4590428441,164.03,4.30504504505,15.0,208.0,7.51019230769,21.9
322,1365,12031.23,8.70566570188,200.0,100475.9,72.7032561505,226.71,4.12665829146,23.1,325.0,6.79175384615,19.1
323,1632,16259.4,9.86015767132,200.0,149703.38,90.7843420255,233.78,4.40964824121,30.0,392.0,6.8068877551,28.3
324,1356,10693.72,7.8056350365,170.0,70934.65,51.7771167883,178.94,4.50620423892,26.9,235.0,5.40042553191,30.0
325,966,8432.11,8.62178936605,200.0,51254.99,52.4079652352,210.02,6.16671826625,30.0,214.0,5.1285046729,39.0
328,775,7551.47,9.64427841635,105.0,36136.22,46.1509833972,163.46,4.56430769231,30.0,91.0,10.5527472527,30.0
329,472,4551.71,9.64345338983,100.0,19977.14,42.3244491525,112.05,4.86138392857,30.0,49.0,10.3204081633,38.4
330,1270,12388.07,9.72375981162,500.0,163637.46,128.443846154,506.68,4.63536866359,30.0,135.0,12.3500740741,89.7
331,1224,11312.42,9.21206840391,300.0,122358.03,99.6400895765,312.0,4.13707317073,28.7,152.0,9.00789473684,45.5
334,1086,10568.19,9.67782967033,300.0,137446.13,125.866419414,390.78,4.01912765957,30.0,166.0,8.69222891566,30.0
335,731,6700.64,9.05491891892,300.0,68791.71,92.9617702703,317.5,4.51777777778,17.5,124.0,9.26290322581,30.0
344,1225,10570.74,8.57318734793,200.0,149868.04,121.547477697,326.42,4.49306390977,14.5,160.0,6.749375,22.4
345,867,9489.8,10.8952927669,200.0,97652.56,112.115453502,255.64,5.30847094801,30.0,154.0,8.26363636364,30.0
346,1832,21820.06,11.8651767265,400.0,225942.24,122.861468189,405.83,4.72562780269,25.5,157.0,12.3076433121,30.0
347,1368,17532.98,12.7698324836,400.0,214629.53,156.321580481,438.27,4.85099833611,30.0,113.0,10.7150442478,42.6
348,1047,10578.03,10.0360815939,200.0,108235.08,102.689829222,240.04,4.96173441734,15.0,172.0,5.74418604651,28.2
349,1271,11982.92,9.31797822706,200.0,90246.09,70.1758087092,227.73,4.77394785847,16.6,209.0,6.55502392344,16.3
352,1106,9479.71,8.50198206278,300.0,104739.56,93.9368251121,309.85,3.81808917197,12.6,179.0,7.43826815642,30.0
353,702,6463.83,9.15556657224,300.0,75595.8,107.076203966,325.0,4.04163716814,11.3,138.0,9.67971014493,30.0
354,1847,13164.02,7.07743010753,200.0,206958.2,111.267849462,313.16,3.52748127341,17.1,127.0,7.29905511811,44.3
355,1603,13185.06,8.19456805469,200.0,185623.43,115.365711622,284.28,3.8145335277,22.1,159.0,7.88742138365,50.0
358,316,2626.95,8.31313291139,300.0,35757.01,113.155094937,316.63,4.17872340426,15.0,31.0,11.1238709677,29.6
